id,nombre,fuentes,enlace_existente,fecha_nacimiento,lugar_nacimiento,residencia,temas,medios,enlaces,hitos,estado_verificacion
1,Banu Cennetoğlu (Facilitator),Frieze 25 (2000s),,,,,,,,,pendiente
2,Nina Chanel Abney,Vitamin P2,,,,,,,,,pendiente
3,Basel Abbas and Rouanne Abou-Rahme,ArtReview Top 100,,,,,,,,,pendiente
4,Marina Abramovic,Base propia,,,,,,,,,pendiente
5,Tomma Abts,Vitamin P1 | Turner Prize,,1967,"Kiel, Deutschland",,,,http://www.tate.org.uk/art/artists/tomma-abts-9550,Turner Prize (premio 2006),factual-tate
6,Franz Ackermann,Vitamin P1,,,,,,,,,pendiente
7,Etel Adnan,Vitamin P3 | Documenta,,,,,,,,"documenta 13, Kassel (2012)",pendiente
8,Laura Aguilar,ArtReview Top 100,,,,,,,,,pendiente
9,Jia Aili,Vitamin P2,,,,,,,,,pendiente
10,John Akomfrah,ArtReview Top 100 | Frieze 25 (2000s),,,,,,,,,pendiente
11,Richard Aldrich,Vitamin P2,,,,,,,,,pendiente
12,Brian Alfred,Vitamin P1,,,,,,,,,pendiente
13,Darren Almond,Vitamin P1,,1971,"Wigan, United Kingdom",,,,http://www.tate.org.uk/art/artists/darren-almond-2657,,factual-tate
14,Ahmed Alsoudani,Vitamin P3,,,,,,,,,pendiente
15,Ellen Altfest,Vitamin P2,,,,,,,,,pendiente
16,Kai Althoff,Vitamin P1,,,,,,,,,pendiente
17,David Altmejd,Vitamin P1,,,,,,,,,pendiente
18,Francis Alÿs,Vitamin P1 | Frieze 25 (2000s) | Documenta,,1959,"Antwerpen, België",,,,http://www.tate.org.uk/art/artists/francis-alys-4427,"documenta 13, Kassel (2012)",factual-tate
19,El Anatsui,Base propia | ArtReview Top 100,,,,,,,,,pendiente
20,Hurvin Anderson,Vitamin P2,,1965,"Birmingham, United Kingdom",,,,http://www.tate.org.uk/art/artists/hurvin-anderson-12583,,factual-tate
21,Karin Mamma Andersson,Vitamin P2,,,,,,,,,pendiente
22,Juan Araujo,Vitamin P2,,1971,"Caracas, Venezuela",,,,http://www.tate.org.uk/art/artists/juan-araujo-10494,,factual-tate
23,Cory Arcangel,ArtReview Top 100,,1978,"Buffalo, United States",,,,http://www.tate.org.uk/art/artists/cory-arcangel-12604,,factual-tate
24,Michael Armitage,Vitamin P3 | Base propia,,,,,,,,,pendiente
25,Lucas Arruda,Vitamin P3,,,,,,,,,pendiente
26,Ed Atkins,ArtReview Top 100,,1982,United Kingdom,,,,http://www.tate.org.uk/art/artists/ed-atkins-15601,,factual-tate
27,Kader Attia,Base propia | Documenta,,1970,"Dugny, France",,,,http://www.tate.org.uk/art/artists/kader-attia-13674,"documenta 13, Kassel (2012)",factual-tate
28,Tauba Auerbach,Vitamin P2,,,,,,,,,pendiente
29,John Baldessari,Base propia,https://www.baldessari.org/,1931,"National City, United States",,,,http://www.tate.org.uk/art/artists/john-baldessari-687,,factual-tate
30,Jules de Balincourt,Vitamin P2,,,,,,,,,pendiente
31,Meriem Bennani and Orian Barki,ArtReview Top 100,,,,,,,,,pendiente
32,Matthew Barney,ArtReview Top 100,,1967,"San Francisco, United States",,,,http://www.tate.org.uk/art/artists/matthew-barney-2362,,factual-tate
33,Hernán Bas,Vitamin P2,,,,,,,,,pendiente
34,Math Bass,Vitamin P3,,,,,,,,,pendiente
35,Tilo Baumgärtel,Vitamin P2,,,,,,,,,pendiente
36,Sadie Benning,Vitamin P3,,,,,,,,,pendiente
37,Carole Benzaken,Vitamin P1,,,,,,,,,pendiente
38,Katherine Bernhardt,Vitamin P3,,,,,,,,,pendiente
39,Zarina Bhimji,Base propia | Turner Prize | Documenta,,1963,"Mbarara, Uganda",,,,http://www.tate.org.uk/art/artists/zarina-bhimji-5469,"Turner Prize (nominación 2007); documenta 11, Kassel (2002)",factual-tate
40,Wafaa Bilal,ArtReview Top 100,,,,,,,,,pendiente
41,Xu Bing,ArtReview Top 100,,,,,,,,,pendiente
42,McArthur Binion,Vitamin P3,,,,,,,,,pendiente
43,Zach Blas,ArtReview Top 100,,,,,,,,,pendiente
44,Zander Blom,Vitamin P3,,,,,,,,,pendiente
45,Amoako Boafo,Base propia,,,,,,,,,pendiente
46,John Bock,Vitamin P1 | Documenta,,,,,,,,"documenta 11, Kassel (2002)",pendiente
47,Christian Boltanski,Base propia,,1944,"Paris, France",,,,http://www.tate.org.uk/art/artists/christian-boltanski-2305,,factual-tate
48,Peter Bonde,Vitamin P1,,,,,,,,,pendiente
49,Monica Bonvicini,Base propia,,,,,,,,,pendiente
50,Michaël Borremans,Vitamin P2,,,,,,,,,pendiente
51,Daniel Boyd,Vitamin P3,,,,,,,,,pendiente
52,Mark Bradford,Vitamin P2 | ArtReview Top 100,,1961,"Los Angeles, United States",,,,http://www.tate.org.uk/art/artists/mark-bradford-9242,,factual-tate
53,Joe Bradley,Vitamin P3,,,,,,,,,pendiente
54,Sascha Braunig,Vitamin P3,,,,,,,,,pendiente
55,Lisa Brice,Vitamin P2,,,,,,,,,pendiente
56,Marcel Broodthaers,Base propia,,1924,"Saint-Gilles, België",,,,http://www.tate.org.uk/art/artists/marcel-broodthaers-815,fallecido/a 1976,factual-tate
57,Cecily Brown,Vitamin P1,,1969,"London, United Kingdom",,,,http://www.tate.org.uk/art/artists/cecily-brown-2703,,factual-tate
58,Glenn Brown,Vitamin P1,,,,,,,,,pendiente
59,Tania Bruguera,ArtReview Top 100 | Documenta,,1968,"La Habana, Cuba",,,,http://www.tate.org.uk/art/artists/tania-bruguera-11982,"documenta 11, Kassel (2002)",factual-tate
60,Kerstin Brätsch,Vitamin P2,,,,,,,,,pendiente
61,Rafał Bujnowski,Vitamin P2,,,,,,,,,pendiente
62,Stephen Bush,Vitamin P2,,,,,,,,,pendiente
63,Firelei Báez,Base propia,,,,,,,,,pendiente
64,Sarah Cain,Vitamin P3,,,,,,,,,pendiente
65,Varda Caivano,Vitamin P2,,,,,,,,,pendiente
66,Sophie Calle,ArtReview Top 100,,1953,"Paris, France",,,,http://www.tate.org.uk/art/artists/sophie-calle-2692,,factual-tate
67,Jane Callister,Vitamin P1,,,,,,,,,pendiente
68,Brian Calvin,Vitamin P2,,,,,,,,,pendiente
69,Juan José Cambre,Vitamin P3,,,,,,,,,pendiente
70,Gillian Carnegie,Vitamin P2,,1971,"Suffolk, United Kingdom",,,,http://www.tate.org.uk/art/artists/gillian-carnegie-5248,,factual-tate
